OBJECTID,FID_GasVT,population,Mean,Mode,Cluster,Entropy,Median,StDev,IQR,Area,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,censustractclip_Area,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_,Shape_Length,Shape_Area
52,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,58,1400000US47157007300,47,157,7300,73,Tract,0.74,20719780,58,1400000US47157007300,47157007300,"Census Tract 73, Shelby County, Tennessee",4920,563,22143,60293,0.0211619,2097973.25
53,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,59,1400000US47157007400,47,157,7400,74,Tract,0.654,18146462,59,1400000US47157007400,47157007400,"Census Tract 74, Shelby County, Tennessee",2948,353,42738,55276,0.042136733,9917028
54,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,60,1400000US47157007500,47,157,7500,75,Tract,0.667,18585752,60,1400000US47157007500,47157007500,"Census Tract 75, Shelby County, Tennessee",1563,335,22240,29829,0.05339763,18585752
55,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,61,1400000US47157007810,47,157,7810,78.1,Tract,2.31,64478900,61,1400000US47157007810,47157007810,"Census Tract 78.10, Shelby County, Tennessee",2274,355,26637,30587,0.127510318,64478900
56,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,62,1400000US47157007821,47,157,7821,78.21,Tract,1.348,37496000,62,1400000US47157007821,47157007821,"Census Tract 78.21, Shelby County, Tennessee",5828,814,17677,29993,0.105117753,37496000
57,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,63,1400000US47157007900,47,157,7900,79,Tract,1.057,29470884,64,1400000US47157007900,47157007900,"Census Tract 79, Shelby County, Tennessee",5852,758,22979,33275,0.067988472,29470884
58,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,64,1400000US47157008000,47,157,8000,80,Tract,1.035,28841808,65,1400000US47157008000,47157008000,"Census Tract 80, Shelby County, Tennessee",5109,608,26813,37708,0.065453789,28841808
59,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,65,1400000US47157008110,47,157,8110,81.1,Tract,0.749,20905954,66,1400000US47157008110,47157008110,"Census Tract 81.10, Shelby County, Tennessee",2866,354,20096,35206,0.064628745,20905954
60,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,66,1400000US47157008120,47,157,8120,81.2,Tract,1.236,34267456,67,1400000US47157008120,47157008120,"Census Tract 81.20, Shelby County, Tennessee",3918,370,26114,38399,0.079640362,34267456
61,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,73,1400000US47157009300,47,157,9300,93,Tract,1.239,34470916,76,1400000US47157009300,47157009300,"Census Tract 93, Shelby County, Tennessee",4174,534,50896,75751,0.029486599,4231005
62,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,77,1400000US47157009700,47,157,9700,97,Tract,0.694,19138068,80,1400000US47157009700,47157009700,"Census Tract 97, Shelby County, Tennessee",2787,405,36731,51881,0.052417672,14246940
63,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,85,1400000US47157010500,47,157,10500,105,Tract,1.772,49498016,90,1400000US47157010500,47157010500,"Census Tract 105, Shelby County, Tennessee",1686,358,26250,32277,0.101054943,49498016
64,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,86,1400000US47157010610,47,157,10610,106.1,Tract,1.507,42149428,91,1400000US47157010610,47157010610,"Census Tract 106.10, Shelby County, Tennessee",6335,828,31534,36306,0.082837557,42149428
65,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,87,1400000US47157010620,47,157,10620,106.2,Tract,0.529,14832534,92,1400000US47157010620,47157010620,"Census Tract 106.20, Shelby County, Tennessee",3568,467,27292,32744,0.050104077,14832534
66,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,88,1400000US47157010710,47,157,10710,107.1,Tract,1.52,42416636,94,1400000US47157010710,47157010710,"Census Tract 107.10, Shelby County, Tennessee",4905,641,43672,51602,0.066849394,25954948
67,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,89,1400000US47157010720,47,157,10720,107.2,Tract,0.536,15260899,95,1400000US47157010720,47157010720,"Census Tract 107.20, Shelby County, Tennessee",3891,433,26694,37653,0.007299478,235988.5156
68,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,90,1400000US47157010810,47,157,10810,108.1,Tract,0.918,25567652,96,1400000US47157010810,47157010810,"Census Tract 108.10, Shelby County, Tennessee",6624,696,31541,46475,0.06474911,25567652
69,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,91,1400000US47157010820,47,157,10820,108.2,Tract,0.869,24236170,97,1400000US47157010820,47157010820,"Census Tract 108.20, Shelby County, Tennessee",4240,475,39926,49459,0.027633859,2897238
70,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,92,1400000US47157011020,47,157,11020,110.2,Tract,1.845,51733016,99,1400000US47157011020,47157011020,"Census Tract 110.20, Shelby County, Tennessee",1257,189,29405,40483,0.089452464,51733016
71,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,97,1400000US47157011600,47,157,11600,116,Tract,0.591,16412050,105,1400000US47157011600,47157011600,"Census Tract 116, Shelby County, Tennessee",2449,383,17609,21994,0.032068632,5238827.5
72,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,106,1400000US47157002800,47,157,2800,28,Tract,0.934,26130476,23,1400000US47157002800,47157002800,"Census Tract 28, Shelby County, Tennessee",3213,411,22424,33939,0.014134597,827116.6875
73,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,108,1400000US47157003000,47,157,3000,30,Tract,0.777,21617776,25,1400000US47157003000,47157003000,"Census Tract 30, Shelby County, Tennessee",3493,398,26271,48152,0.032862134,3781171.5
74,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,109,1400000US47157003100,47,157,3100,31,Tract,1.082,30195822,26,1400000US47157003100,47157003100,"Census Tract 31, Shelby County, Tennessee",3511,361,50962,82300,0.074265355,28133326
75,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,110,1400000US47157003300,47,157,3300,33,Tract,0.434,11911964,28,1400000US47157003300,47157003300,"Census Tract 33, Shelby County, Tennessee",2585,294,75057,102616,0.044760411,11911964
76,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,111,1400000US47157003400,47,157,3400,34,Tract,0.355,9965540,29,1400000US47157003400,47157003400,"Census Tract 34, Shelby County, Tennessee",2397,311,39643,62099,0.035302127,8180274
77,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,112,1400000US47157003500,47,157,3500,35,Tract,0.546,15376662,30,1400000US47157003500,47157003500,"Census Tract 35, Shelby County, Tennessee",3305,314,60450,92722,0.048782636,15376662
78,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,113,1400000US47157003700,47,157,3700,37,Tract,0.268,7546542.5,32,1400000US47157003700,47157003700,"Census Tract 37, Shelby County, Tennessee",1208,119,13615,20984,0.025614976,4028688.75
79,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,114,1400000US47157003800,47,157,3800,38,Tract,0.277,7595320.5,33,1400000US47157003800,47157003800,"Census Tract 38, Shelby County, Tennessee",1128,130,15958,23126,0.014648663,1127997.375
80,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,118,1400000US47157004600,47,157,4600,46,Tract,0.495,13761481,38,1400000US47157004600,47157004600,"Census Tract 46, Shelby County, Tennessee",1375,157,23561,31217,0.042012931,10854053
81,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,120,1400000US47157005500,47,157,5500,55,Tract,1.295,36476980,41,1400000US47157005500,47157005500,"Census Tract 55, Shelby County, Tennessee",2078,337,17790,29063,0.030629995,4427682.5
82,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,121,1400000US47157005600,47,157,5600,56,Tract,1.62,44867228,42,1400000US47157005600,47157005600,"Census Tract 56, Shelby County, Tennessee",3590,376,26068,34564,0.088250182,41199052
83,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,122,1400000US47157005700,47,157,5700,57,Tract,0.559,15630515,43,1400000US47157005700,47157005700,"Census Tract 57, Shelby County, Tennessee",2367,421,27031,33256,0.047217875,11088344
84,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,123,1400000US47157005900,47,157,5900,59,Tract,0.548,15283924,45,1400000US47157005900,47157005900,"Census Tract 59, Shelby County, Tennessee",2473,467,18456,23553,0.041247253,10620434
85,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,124,1400000US47157006000,47,157,6000,60,Tract,0.59,16464045,46,1400000US47157006000,47157006000,"Census Tract 60, Shelby County, Tennessee",2130,463,26860,33939,0.057303658,16464045
86,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,125,1400000US47157006200,47,157,6200,62,Tract,0.627,17605618,47,1400000US47157006200,47157006200,"Census Tract 62, Shelby County, Tennessee",1939,252,28563,48249,0.053864988,17605618
87,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,126,1400000US47157006400,47,157,6400,64,Tract,0.373,10336824,49,1400000US47157006400,47157006400,"Census Tract 64, Shelby County, Tennessee",1888,303,33661,48044,0.040202854,10336824
88,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,127,1400000US47157006500,47,157,6500,65,Tract,0.823,23121492,50,1400000US47157006500,47157006500,"Census Tract 65, Shelby County, Tennessee",2588,443,21524,42164,0.068941902,23121492
89,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,128,1400000US47157006600,47,157,6600,66,Tract,0.806,22408408,51,1400000US47157006600,47157006600,"Census Tract 66, Shelby County, Tennessee",2260,220,38864,47872,0.064324243,22408408
90,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,193,1400000US47157021731,47,157,21731,217.31,Tract,1.163,32368352,188,1400000US47157021731,47157021731,"Census Tract 217.31, Shelby County, Tennessee",2940,346,36375,51052,0.039906779,7480380.5
91,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,201,1400000US47157021900,47,157,21900,219,Tract,5.808,165847936,199,1400000US47157021900,47157021900,"Census Tract 219, Shelby County, Tennessee",5409,613,37763,42255,0.173237777,165847936
92,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,202,1400000US47157022022,47,157,22022,220.22,Tract,1.899,53120168,200,1400000US47157022022,47157022022,"Census Tract 220.22, Shelby County, Tennessee",3123,623,16316,28064,0.098473056,53120168
93,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,203,1400000US47157022023,47,157,22023,220.23,Tract,0.554,15385959,201,1400000US47157022023,47157022023,"Census Tract 220.23, Shelby County, Tennessee",1821,244,41719,59382,0.056423536,15385959
94,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,204,1400000US47157022024,47,157,22024,220.24,Tract,0.998,27741334,202,1400000US47157022024,47157022024,"Census Tract 220.24, Shelby County, Tennessee",3222,304,50238,59269,0.072054643,27741334
95,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,205,1400000US47157022112,47,157,22112,221.12,Tract,1.271,35342956,204,1400000US47157022112,47157022112,"Census Tract 221.12, Shelby County, Tennessee",6386,691,31593,37351,0.073443157,35342956
96,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,206,1400000US47157022121,47,157,22121,221.21,Tract,1.689,47065204,205,1400000US47157022121,47157022121,"Census Tract 221.21, Shelby County, Tennessee",4961,501,64115,67950,0.088657118,47065204
97,1,197395,157780,4,4,0.721928095,135908,67021.5762,98824.5,2610878208,207,1400000US47157022130,47,157,22130,221.3,Tract,1.9,55323612,207,1400000US47157022130,47157022130,"Census Tract 221.30, Shelby County, Tennessee",5916,702,45552,56675,0.11080375,55323612
