OBJECTID_1,FID_XYHazardSce95,OBJECTID,Field1,Field2,Field3,FID_censustractclip_CensusData,censustractclip_GEO_ID,censustractclip_STATE,censustractclip_COUNTY,censustractclip_TRACT,censustractclip_NAME,censustractclip_LSAD,censustractclip_CENSUSAREA,CensusData_OBJECTID,CensusData_Id,CensusData_Id2,CensusData_Geography,CensusData_Estimate__Total,CensusData_Margin_of_Error__Total,CensusData_Median_income__dollars_,CensusData_Mean_income__dollars_
857,1030,1031,35.162999999999997,-89.933700000000002,0.082529000000000,53,1400000US47157001100,47,157,001100,11,Tract,0.676000000000000,9,1400000US47157001100,47157001100.000000000000000,"Census Tract 11, Shelby County, Tennessee",3099,437,26571,35300
858,1076,1077,35.162999999999997,-89.922700000000006,0.167029000000000,41,1400000US47157008800,47,157,008800,88,Tract,1.187000000000000,72,1400000US47157008800,47157008800.000000000000000,"Census Tract 88, Shelby County, Tennessee",7304,1020,30180,35121
859,1122,1123,35.162999999999997,-89.911600000000007,0.094312000000000,71,1400000US47157009100,47,157,009100,91,Tract,1.152000000000000,74,1400000US47157009100,47157009100.000000000000000,"Census Tract 91, Shelby County, Tennessee",2907,378,30225,37457
860,1168,1169,35.162999999999997,-89.900599999999997,0.106314000000000,43,1400000US47157009800,47,157,009800,98,Tract,1.390000000000000,81,1400000US47157009800,47157009800.000000000000000,"Census Tract 98, Shelby County, Tennessee",3634,271,36725,46103
861,1214,1215,35.162999999999997,-89.889600000000002,0.132383000000000,43,1400000US47157009800,47,157,009800,98,Tract,1.390000000000000,81,1400000US47157009800,47157009800.000000000000000,"Census Tract 98, Shelby County, Tennessee",3634,271,36725,46103
862,1260,1261,35.162999999999997,-89.878600000000006,0.306456000000000,6,1400000US47157020610,47,157,020610,206.10,Tract,2.955000000000000,124,1400000US47157020610,47157020610.000000000000000,"Census Tract 206.10, Shelby County, Tennessee",3759,398,39934,51836
863,1306,1307,35.162999999999997,-89.867599999999996,0.120886000000000,171,1400000US47157021200,47,157,021200,212,Tract,0.879000000000000,160,1400000US47157021200,47157021200.000000000000000,"Census Tract 212, Shelby County, Tennessee",3958,235,0,0
864,1352,1353,35.162999999999997,-89.856600000000000,0.102479000000000,161,1400000US47157021122,47,157,021122,211.22,Tract,1.133000000000000,148,1400000US47157021122,47157021122.000000000000000,"Census Tract 211.22, Shelby County, Tennessee",5733,449,44432,51701
865,1398,1399,35.162999999999997,-89.845600000000005,0.104285000000000,161,1400000US47157021122,47,157,021122,211.22,Tract,1.133000000000000,148,1400000US47157021122,47157021122.000000000000000,"Census Tract 211.22, Shelby County, Tennessee",5733,449,44432,51701
866,1444,1445,35.162999999999997,-89.834500000000006,0.097012000000000,162,1400000US47157021124,47,157,021124,211.24,Tract,1.604000000000000,149,1400000US47157021124,47157021124.000000000000000,"Census Tract 211.24, Shelby County, Tennessee",8875,747,58361,64159
