GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HC01_EST_VC13,HC01_EST_VC15
Id,Id2,Geography,Estimate; Total,Margin of Error; Total,Median income (dollars),Mean income (dollars)
1400000US47157021721,47157021721,"Census Tract 217.21, Shelby County, Tennessee",5191,465,24977,35902
1400000US47157021724,47157021724,"Census Tract 217.24, Shelby County, Tennessee",2411,235,44679,56142
1400000US47157021725,47157021725,"Census Tract 217.25, Shelby County, Tennessee",4448,482,29924,37001
1400000US47157021726,47157021726,"Census Tract 217.26, Shelby County, Tennessee",4649,812,27777,33053
1400000US47157021731,47157021731,"Census Tract 217.31, Shelby County, Tennessee",2940,346,36375,51052
1400000US47157021732,47157021732,"Census Tract 217.32, Shelby County, Tennessee",6229,653,28421,41782
1400000US47157021741,47157021741,"Census Tract 217.41, Shelby County, Tennessee",8795,881,37863,48985
1400000US47157021744,47157021744,"Census Tract 217.44, Shelby County, Tennessee",6439,679,67965,67452
1400000US47157021745,47157021745,"Census Tract 217.45, Shelby County, Tennessee",7774,701,71984,74462
1400000US47157021746,47157021746,"Census Tract 217.46, Shelby County, Tennessee",4730,483,39901,51044
1400000US47157021747,47157021747,"Census Tract 217.47, Shelby County, Tennessee",3757,453,50423,58658
1400000US47157021751,47157021751,"Census Tract 217.51, Shelby County, Tennessee",7081,686,77308,81869
1400000US47157021752,47157021752,"Census Tract 217.52, Shelby County, Tennessee",4943,486,67820,69891
1400000US47157021753,47157021753,"Census Tract 217.53, Shelby County, Tennessee",3157,515,67054,69681
1400000US47157021754,47157021754,"Census Tract 217.54, Shelby County, Tennessee",4423,381,49353,58147
1400000US47157021900,47157021900,"Census Tract 219, Shelby County, Tennessee",5409,613,37763,42255
1400000US47157022022,47157022022,"Census Tract 220.22, Shelby County, Tennessee",3123,623,16316,28064
1400000US47157022023,47157022023,"Census Tract 220.23, Shelby County, Tennessee",1821,244,41719,59382
1400000US47157022024,47157022024,"Census Tract 220.24, Shelby County, Tennessee",3222,304,50238,59269
1400000US47157022111,47157022111,"Census Tract 221.11, Shelby County, Tennessee",5066,658,31725,35282
