ID,Length (ft),Length (km),Arc Type,Start Node,End Node,u_t0,f_t0,c_t0,u_t1,f_t1,c_t1,u_t2,f_t2,c_t2,u_t3,f_t3,c_t3,u_t4,f_t4,c_t4,u_t5,f_t5,c_t5,u_t6,f_t6,c_t6,u_t7,f_t7,c_t7,u_t8,f_t8,c_t8,u_t9,f_t9,c_t9,u_t10,f_t10,c_t10
69,37756.37038,11.508,Transmission Line,56,26,27.5,37756,37756,27.5,37756,37756,27.5,37756,37756,27.5,37756,37756,27.5,37756,37756,27.5,37756,37756,27.5,37756,37756,27.5,37756,37756,27.5,37756,37756,27.5,37756,37756,27.5,37756,37756
70,37050.11825,11.293,Transmission Line,26,9,1,37050,37050,1,37050,37050,1,37050,37050,1,37050,37050,1,37050,37050,1,37050,37050,1,37050,37050,1,37050,37050,1,37050,37050,1,37050,37050,1,37050,37050
71,1315.686778,0.401,Transmission Line,74,47,35.2,1316,1316,35.2,1316,1316,35.2,1316,1316,35.2,1316,1316,35.2,1316,1316,35.2,1316,1316,35.2,1316,1316,35.2,1316,1316,35.2,1316,1316,35.2,1316,1316,35.2,1316,1316
72,52623.42242,16.04,Transmission Line,4,46,41.5,52623,52623,41.5,52623,52623,41.5,52623,52623,41.5,52623,52623,41.5,52623,52623,41.5,52623,52623,41.5,52623,52623,41.5,52623,52623,41.5,52623,52623,41.5,52623,52623,41.5,52623,52623
73,22426.69869,6.836,Transmission Line,8,73,21,22427,22427,21,22427,22427,21,22427,22427,21,22427,22427,21,22427,22427,21,22427,22427,21,22427,22427,21,22427,22427,21,22427,22427,21,22427,22427,21,22427,22427
74,9685.796891,2.952,Transmission Line,72,73,21,9686,9686,21,9686,9686,21,9686,9686,21,9686,9686,21,9686,9686,21,9686,9686,21,9686,9686,21,9686,9686,21,9686,9686,21,9686,9686,21,9686,9686
75,4064.289122,1.239,Transmission Line,68,45,40.8,4064,4064,40.8,4064,4064,40.8,4064,4064,40.8,4064,4064,40.8,4064,4064,40.8,4064,4064,40.8,4064,4064,40.8,4064,4064,40.8,4064,4064,40.8,4064,4064,40.8,4064,4064
76,9160.169861,2.792,Transmission Line,70,69,1,9160,9160,1,9160,9160,1,9160,9160,1,9160,9160,1,9160,9160,1,9160,9160,1,9160,9160,1,9160,9160,1,9160,9160,1,9160,9160,1,9160,9160
77,19223.47144,5.859,Transmission Line,38,3,21.3,19223,19223,21.3,19223,19223,21.3,19223,19223,21.3,19223,19223,21.3,19223,19223,21.3,19223,19223,21.3,19223,19223,21.3,19223,19223,21.3,19223,19223,21.3,19223,19223,21.3,19223,19223
78,10300.15385,3.139,Transmission Line,24,5,80.2,10300,10300,80.2,10300,10300,80.2,10300,10300,80.2,10300,10300,80.2,10300,10300,80.2,10300,10300,80.2,10300,10300,80.2,10300,10300,80.2,10300,10300,80.2,10300,10300,80.2,10300,10300
