ID,X,Y,Node Type,Area (squate miles),Median income (dollars),Mean income (dollars),Density,percPop,population,Area-Population Score,Demand-t0,q (complete DS)_t0,Mp_t0,Mm_t0,Demand-t1,q (complete DS)_t1,Mp_t1,Mm_t1,Demand-t2,q (complete DS)_t2,Mp_t2,Mm_t2,Demand-t3,q (complete DS)_t3,Mp_t3,Mm_t3,Demand-t4,q (complete DS)_t4,Mp_t4,Mm_t4,Demand-t5,q (complete DS)_t5,Mp_t5,Mm_t5,Demand-t6,q (complete DS)_t6,Mp_t6,Mm_t6,Demand-t7,q (complete DS)_t7,Mp_t7,Mm_t7,Demand-t8,q (complete DS)_t8,Mp_t8,Mm_t8,Demand-t9,q (complete DS)_t9,Mp_t9,Mm_t9,Demand-t10,q (complete DS)_t10,Mp_t10,Mm_t10
11,-89.67644063,35.32495857,Pumping Station,46.21,88576,104805,294,0.015,13590,0.3,14.713,13000,1000000,10000000,14.713,13000,1000000,10000000,14.713,13000,1000000,10000000,14.713,13000,1000000,10000000,14.713,13000,1000000,10000000,14.713,13000,1000000,10000000,14.713,13000,1000000,10000000,14.713,13000,1000000,10000000,14.713,13000,1000000,10000000,14.713,13000,1000000,10000000,14.713,13000,1000000,10000000
12,-90.03358832,35.34209544,Storage Tank,86.31,50898,68773,95,0.009,8209,0.566666667,8.888,15667,1000000,10000000,8.888,15667,1000000,10000000,8.888,15667,1000000,10000000,8.888,15667,1000000,10000000,8.888,15667,1000000,10000000,8.888,15667,1000000,10000000,8.888,15667,1000000,10000000,8.888,15667,1000000,10000000,8.888,15667,1000000,10000000,8.888,15667,1000000,10000000,8.888,15667,1000000,10000000
13,-89.71770387,35.37741124,Storage Tank,22.58,72689,94410,66,0.002,1501,0.066666667,1.625,10667,1000000,10000000,1.625,10667,1000000,10000000,1.625,10667,1000000,10000000,1.625,10667,1000000,10000000,1.625,10667,1000000,10000000,1.625,10667,1000000,10000000,1.625,10667,1000000,10000000,1.625,10667,1000000,10000000,1.625,10667,1000000,10000000,1.625,10667,1000000,10000000,1.625,10667,1000000,10000000
14,-89.80639628,35.38015299,Storage Tank,55.21,54522,62863,201,0.012,11091,0.466666667,12.007,14667,1000000,10000000,12.007,14667,1000000,10000000,12.007,14667,1000000,10000000,12.007,14667,1000000,10000000,12.007,14667,1000000,10000000,12.007,14667,1000000,10000000,12.007,14667,1000000,10000000,12.007,14667,1000000,10000000,12.007,14667,1000000,10000000,12.007,14667,1000000,10000000,12.007,14667,1000000,10000000
15,-89.92918924,35.0209335,Distribution Node,26.01,42319,51155,1514,0.043,39395,0.735294118,-42.651,17353,1000000,10000000,-42.651,17353,1000000,10000000,-42.651,17353,1000000,10000000,-42.651,17353,1000000,10000000,-42.651,17353,1000000,10000000,-42.651,17353,1000000,10000000,-42.651,17353,1000000,10000000,-42.651,17353,1000000,10000000,-42.651,17353,1000000,10000000,-42.651,17353,1000000,10000000,-42.651,17353,1000000,10000000
16,-89.70606321,35.00136005,Distribution Node,36.56,89417,112223,1394,0.055,50955,0.867647059,-55.167,18676,1000000,10000000,-55.167,18676,1000000,10000000,-55.167,18676,1000000,10000000,-55.167,18676,1000000,10000000,-55.167,18676,1000000,10000000,-55.167,18676,1000000,10000000,-55.167,18676,1000000,10000000,-55.167,18676,1000000,10000000,-55.167,18676,1000000,10000000,-55.167,18676,1000000,10000000,-55.167,18676,1000000,10000000
17,-89.92818104,35.05285945,Distribution Node,16.04,32160,43038,2891,0.05,46371,0.573529412,-50.204,15735,1000000,10000000,-50.204,15735,1000000,10000000,-50.204,15735,1000000,10000000,-50.204,15735,1000000,10000000,-50.204,15735,1000000,10000000,-50.204,15735,1000000,10000000,-50.204,15735,1000000,10000000,-50.204,15735,1000000,10000000,-50.204,15735,1000000,10000000,-50.204,15735,1000000,10000000,-50.204,15735,1000000,10000000
18,-89.98241271,35.0639128,Distribution Node,13.92,31606,41321,1538,0.023,21417,0.411764706,-23.187,14118,1000000,10000000,-23.187,14118,1000000,10000000,-23.187,14118,1000000,10000000,-23.187,14118,1000000,10000000,-23.187,14118,1000000,10000000,-23.187,14118,1000000,10000000,-23.187,14118,1000000,10000000,-23.187,14118,1000000,10000000,-23.187,14118,1000000,10000000,-23.187,14118,1000000,10000000,-23.187,14118,1000000,10000000
19,-90.0328948,35.06443844,Distribution Node,33.65,30488,38991,1985,0.072,66809,0.867647059,-72.332,18676,1000000,10000000,-72.332,18676,1000000,10000000,-72.332,18676,1000000,10000000,-72.332,18676,1000000,10000000,-72.332,18676,1000000,10000000,-72.332,18676,1000000,10000000,-72.332,18676,1000000,10000000,-72.332,18676,1000000,10000000,-72.332,18676,1000000,10000000,-72.332,18676,1000000,10000000,-72.332,18676,1000000,10000000
20,-90.14727652,35.08710837,Distribution Node,61.16,21445,27135,113,0.007,6921,0.676470588,-7.493,16765,1000000,10000000,-7.493,16765,1000000,10000000,-7.493,16765,1000000,10000000,-7.493,16765,1000000,10000000,-7.493,16765,1000000,10000000,-7.493,16765,1000000,10000000,-7.493,16765,1000000,10000000,-7.493,16765,1000000,10000000,-7.493,16765,1000000,10000000,-7.493,16765,1000000,10000000,-7.493,16765,1000000,10000000
21,-90.06847085,35.11676474,Distribution Node,12.39,24414,34557,1107,0.015,13711,0.323529412,-14.845,13235,1000000,10000000,-14.845,13235,1000000,10000000,-14.845,13235,1000000,10000000,-14.845,13235,1000000,10000000,-14.845,13235,1000000,10000000,-14.845,13235,1000000,10000000,-14.845,13235,1000000,10000000,-14.845,13235,1000000,10000000,-14.845,13235,1000000,10000000,-14.845,13235,1000000,10000000,-14.845,13235,1000000,10000000
